name,id,gender
Bill Condon,15557,2
Stephen Poliakoff,116607,2
Joel Coen,1223,0
David R. Ellis,4755,2
Gerald Potterton,70616,2
Kevin Yagher,176246,0
Joe Chappelle,55116,2
Matt Reeves,32278,2
Franco Zeffirelli,24657,2
Anna Campion,75474,1
Franco Brusati,49552,2
Wolfgang Reitherman,57314,2
Pedro Almodóvar,309,2
Fernando Trueba,37526,0
Bill Couturié,116103,2
Werner Herzog,6818,2
André Téchiné,96627,2
,,
Mika Kaurismäki,54767,2
Férid Boughedir,1044284,0
Martin Lawrence,78029,2
Stacy Title,72619,0
Gregory Hoblit,17812,2
Clément Virgo,173004,0
Bruno Barreto,69719,2
Paul Sabella,71852,2
Larry Leker,952327,2
Ken Loach,15488,2
Hal Salwen,974388,0
Jonathan R. Betuel,70835,0
Richard Pearce,73496,2
Todd Verow,230320,0
Jonathan Lynn,21217,2
Tim Sullivan,20773,2
Spike Lee,5281,2
Jeremiah S. Chechik,34682,2
Hervé Palud,69537,2
Martin Enlen,43440,2
Carlo Rola,68998,2
,,
Claude Sautet,20789,2
Edward Zwick,9181,2
Brian De Palma,1150,2
Friðrik Þór Friðriksson,6759,0
Pen Densham,2182,2
Sönke Wortmann,1869,0
Park Chul-soo,105617,2
Rob Cohen,18878,2
Joseph Vilsmaier,14614,2
Michael Verhoeven,26595,2
Steve Rash,54590,2
Gray Hofmeyr,80526,0
Richard Wherrett,559920,0
René Clément,9740,2
Anthony Hopkins,4173,2
Henry Selick,57646,2
James Foley,15890,2
Kelly Makin,64030,2
Paul Mazursky,47773,2
Emir Kusturica,15254,0
Bo Widerberg,96934,2
Alan Mehrez,115983,2
Satyajit Ray,12160,2
Satyajit Ray,12160,2
Jim Mallon,30021,2
,,
Joe Pytka,23677,2
Roger Vadim,53767,2
Catherine Cyran,98940,1
Brett Piper,98094,2
George Hickenlooper,37852,2
Peter Yates,12804,2
Jean-Luc Godard,3776,2
Bertrand Tavernier,20556,2
Mika Kaurismäki,54767,2
Claude Chabrol,19069,0
Gordon Willis,3097,2
Randal Kleiser,8876,2
Michael Blakemore,1080036,0
Simon Wincer,18254,0
Margarethe von Trotta,39298,1
Richard Benjamin,24318,2
Norberto Barba,104404,2
Eli Cohen,585248,0
Robert Mandel,43786,2
Pat Verducci,1046169,1
Michael Winterbottom,172,2
Steven Baigelman,73838,2
Zalman King,42113,0
Barry Caillier,1661328,0
Patrick Read Johnson,56059,2
